Manufacturer,Name,Reference,Description,Base price,1.12,Final Price
Cisco,SPA112 ATA 2 Port Adapter,SPA112,Enables high-quality VoIP service with a comprehensive feature set through a  broadband Internet connection.The Cisco SPA112 2 Port Adapter enables high-quality VoIP service with a comprehensive feature set through a  broadband Internet connection. This product is a replacement for:Linksys - PAP2T -PAP2T-NA,$47.22 ,1.12,$52.89 
Cisco,SPA122 ATA with Router,SPA122,The SPA122 ATA with Router combines VoIP services with an internal router for LAN connectivity.,$57.48 ,1.12,$64.38 
Cisco,SPA2102,SPA2102-NA,Cisco SPA 2102 VOIP ROUTER WITH 2 FXS,$57.48 ,1.12,$64.38 
Cisco,SPA3102,SPA3102-NA,Cisco 3102 VOIP ROUTER     1 Port FXS and 1 FXO,$66.38 ,1.12,$74.35 
Cisco,SPA8000-G1,SPA8000-G1,8 Port FXS gateway,$218.95 ,1.12,$245.22 
Cisco,SPA8800 IP Telephony Gateway with 4 FXS and 4 FXO Ports,SPA8800,Cisco 8 port SIP gateway with 4 FXS and 4 FXO ports.,$410.54 ,1.12,$459.80 
Cisco,WRP400-G1,WRP400-G1,Wireless G router with 2 FXS ports and SIP support. Includes 4 port switch and QOS. Replacement for WRT54G.,$100.59 ,1.12,$112.66 
Cisco,SPA512G 1-Line Gigabit  IP Phone,SPA512G,"Full-featured 1-line business-class IP phone supporting Power over Ethernet PoE. Connects directly to an Internet telephone service provider or to an IP PBX. Dual Gigabit Ethernet switched ports, speakerphone, caller ID, call hold, conferencing, and more. Easy installation and secure remote provisioning, as well as menu-based and web-based configuration. Supports up to two Cisco SPA500S Expansion Modules, adding up to 64 additional buttons. Supports both SIP and SPCP Protocols with Cisco Unified Communication 500 Series. Does not include power supply.",$132.74 ,1.12,$148.67 
Cisco,SPA512G 1-Line Gigabit  IP Phone with Power Supply,SPA512G-AC,"Full-featured 1-line business-class IP phone supporting Power over Ethernet PoE. Connects directly to an Internet telephone service provider or to an IP PBX. Dual Gigabit Ethernet switched ports, speakerphone, caller ID, call hold, conferencing, and more. Easy installation and secure remote provisioning, as well as menu-based and web-based configuration. Supports up to two Cisco SPA500S Expansion Modules, adding up to 64 additional buttons. Supports both SIP and SPCP Protocols with Cisco Unified Communication 500 Series. Includes power supply.",$141.47 ,1.12,$158.45 
Cisco,SPA514G 4-Line Gigabit IP Phone,SPA514G,"Full-featured 4-line business-class IP phone supporting Power over Ethernet PoE. Connects directly to an Internet telephone service provider or to an IP PBX. Dual Gigabit Ethernet switched ports, speakerphone, caller ID, call hold, conferencing, and more. Easy installation and secure remote provisioning, as well as menu-based and web-based configuration. Supports up to two Cisco SPA500S Expansion Modules adding up to 64 additional keys. Supports both SIP and SPCP Protocol with Cisco Unified Communication 500 Series.",$149.83 ,1.12,$167.81 
